id,partNumber,name,category,equipmentType,quantityOnHand,reorderLevel,storageLocation,unitCostUsd,lastRestockedAt
70000000-0000-0000-0000-000000000001,SP-BRG-1001,Guide bearing pad set,BEARING,TURB,6,4,Warehouse A-01,4200.0,2026-06-10
70000000-0000-0000-0000-000000000002,SP-BRG-1002,Thrust bearing segment,BEARING,TURB,2,3,Warehouse A-01,5100.0,2026-05-22
70000000-0000-0000-0000-000000000003,SP-SEAL-2001,Main shaft seal kit,SEAL,TURB,9,5,Warehouse A-02,880.0,2026-06-28
70000000-0000-0000-0000-000000000004,SP-SEAL-2002,Guide vane seal ring,SEAL,TURB,3,4,Warehouse A-02,640.0,2026-04-30
70000000-0000-0000-0000-000000000005,SP-SEN-3001,Vibration probe (eddy current),SENSOR,TURB,12,6,Store B-11,1350.0,2026-07-05
70000000-0000-0000-0000-000000000006,SP-SEN-3002,RTD temperature sensor,SENSOR,TURB,20,8,Store B-11,210.0,2026-07-12
70000000-0000-0000-0000-000000000007,SP-SEN-3003,Pressure transducer,SENSOR,TURB,7,6,Store B-12,490.0,2026-06-18
70000000-0000-0000-0000-000000000008,SP-VAL-4001,Guide vane servo valve,VALVE,TURB,2,2,Warehouse A-03,7300.0,2026-03-15
70000000-0000-0000-0000-000000000009,SP-VAL-4002,Cooling water control valve,VALVE,TURB,5,3,Warehouse A-03,1120.0,2026-06-02
70000000-0000-0000-0000-000000000010,SP-ELE-5001,Excitation control card,ELECTRICAL,TURB,4,3,Store B-20,2650.0,2026-05-09
70000000-0000-0000-0000-000000000011,SP-ELE-5002,Governor PLC module,ELECTRICAL,TURB,1,2,Store B-20,3900.0,2026-02-27
70000000-0000-0000-0000-000000000012,SP-ELE-5003,Field cabling loom,ELECTRICAL,TURB,14,6,Store B-21,180.0,2026-07-20
