id,workOrderNumber,equipmentId,instrumentId,opcuaNodeId,title,description,priority,status,assignedToOid,createdByOid,createdAt,dueAt
10000000-0000-0000-0000-000000000001,WO-2841,EQUIP_RTI_T001,INST_T001_VIBRATION_A,ns=2;s=T001.vibration_a,Inspect guide bearing vibration,"Inspect bearing, alignment, and lubrication after elevated vibration trend.",Critical,In progress,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2026-07-28T08:00:00,2026-08-01T16:00:00
10000000-0000-0000-0000-000000000002,WO-2836,EQUIP_RTI_T002,INST_T002_INLET_PRESSURE,ns=2;s=T002.inlet_pressure,Review inlet pressure variance,Validate transducer and compare against local gauge.,High,Scheduled,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2026-07-27T10:00:00,2026-08-03T12:00:00
10000000-0000-0000-0000-000000000003,WO-2829,EQUIP_RTI_T003,INST_T003_TURBINE_TEMP,ns=2;s=T003.turbine_temp,Inspect turbine cooling circuit,"Check strainers, flow, and temperature sensor calibration.",Medium,Ready,,00000000-0000-0000-0000-000000000000,2026-07-26T09:30:00,2026-08-05T12:00:00
10000000-0000-0000-0000-000000000004,WO-2848,EQUIP_RTI_T006,INST_T006_VIBRATION_D,ns=2;s=T006.vibration_d,Fjord unit driven-end vibration check,Trend review and balancing assessment on driven-end bearing.,High,Approved,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2026-07-29T07:00:00,2026-08-04T16:00:00
10000000-0000-0000-0000-000000000005,WO-2851,EQUIP_RTI_T008,INST_T008_POWER_OUTPUT,ns=2;s=T008.power_output,Investigate power output dip,Correlate output with head and guide-vane position.,Medium,Planned,,00000000-0000-0000-0000-000000000000,2026-07-29T13:20:00,2026-08-06T12:00:00
10000000-0000-0000-0000-000000000006,WO-2853,EQUIP_RTI_T010,INST_T010_TURBINE_SPEED,ns=2;s=T010.turbine_speed,Overspeed trip test,Scheduled governor overspeed protection test.,Low,Scheduled,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2026-07-30T09:00:00,2026-08-08T12:00:00
10000000-0000-0000-0000-000000000007,WO-2857,EQUIP_RTI_T011,INST_T011_TURBINE_TEMP,ns=2;s=T011.turbine_temp,Highland unit cooling inspection,Inspect heat exchanger fouling after temperature rise.,High,In progress,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2026-07-30T11:00:00,2026-08-02T18:00:00
10000000-0000-0000-0000-000000000008,WO-2860,EQUIP_RTI_T013,INST_T013_VIBRATION_A,ns=2;s=T013.vibration_a,Highland unit bearing endoscopy,Borescope guide bearing following vibration advisory.,Critical,Ready,,00000000-0000-0000-0000-000000000000,2026-07-30T14:10:00,2026-08-03T12:00:00
10000000-0000-0000-0000-000000000009,WO-2862,EQUIP_RTI_T015,INST_T015_INLET_PRESSURE,ns=2;s=T015.inlet_pressure,Inlet strainer differential check,Verify strainer differential pressure and clean if required.,Medium,Approved,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2026-07-31T08:30:00,2026-08-09T12:00:00
10000000-0000-0000-0000-000000000010,WO-2820,EQUIP_RTI_T004,INST_T004_TURBINE_TEMP,ns=2;s=T004.turbine_temp,Annual thermographic survey,Completed annual thermographic survey; no anomalies.,Low,Completed,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2026-07-15T08:00:00,2026-07-20T12:00:00
10000000-0000-0000-0000-000000000011,WO-2812,EQUIP_RTI_T007,INST_T007_VIBRATION_A,ns=2;s=T007.vibration_a,Bearing lubrication refresh,Completed lubrication service on guide bearing.,Medium,Completed,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2026-07-10T08:00:00,2026-07-14T12:00:00
10000000-0000-0000-0000-000000000012,WO-2867,EQUIP_RTI_T012,INST_T012_POWER_OUTPUT,ns=2;s=T012.power_output,Efficiency test after overhaul,Post-overhaul efficiency verification test.,High,Draft,,00000000-0000-0000-0000-000000000000,2026-07-31T15:00:00,2026-08-12T12:00:00
